id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
Non-Targeting,1000,-2.1955e-75,2.5901e-07,0.000225,1,0,0.0,-5.5791e-81,2.5901e-07,0.000121,1,0,0.0
HDAC3,4,2.5286e-14,2.5901e-07,0.000225,2,4,-1.9595,1.0,1.0,1.0,19113,0,-1.9595
ZBTB7B,4,8.6669e-14,2.5901e-07,0.000225,3,4,-1.4922,1.0,1.0,1.0,19112,0,-1.4922
ZC3H12A,4,2.9808e-12,2.5901e-07,0.000225,4,4,-1.1337,1.0,1.0,1.0,19111,0,-1.1337
NCOR2,4,7.7217e-12,2.5901e-07,0.000225,5,4,-1.1135,1.0,1.0,1.0,19110,0,-1.1135
CCNC,4,2.1097e-10,2.5901e-07,0.000225,6,4,-0.78938,1.0,1.0,1.0,19109,0,-0.78938
HIRA,4,2.1682e-10,2.5901e-07,0.000225,7,4,-1.1016,1.0,1.0,1.0,19108,0,-1.1016
PRKAR1A,4,3.0448e-10,2.5901e-07,0.000225,8,4,-0.85812,1.0,1.0,1.0,19107,0,-0.85812
ITPKB,4,1.3682e-09,2.5901e-07,0.000225,9,4,-0.94231,1.0,1.0,1.0,19105,0,-0.94231
TLE3,4,1.3957e-09,2.5901e-07,0.000225,10,4,-1.1792,1.0,1.0,1.0,19106,0,-1.1792
RBPJ,4,1.4463e-09,2.5901e-07,0.000225,11,4,-1.5297,1.0,1.0,1.0,19098,0,-1.5297
MTF1,4,3.4338e-09,2.5901e-07,0.000225,12,4,-1.0683,1.0,1.0,1.0,19104,0,-1.0683
GRB2,4,7.962e-09,2.5901e-07,0.000225,13,4,-0.85893,1.0,1.0,1.0,19103,0,-0.85893
PFN1,4,1.2048e-08,2.5901e-07,0.000225,14,4,-1.1524,1.0,1.0,1.0,19090,0,-1.1524
C16orf72,4,1.5145e-08,2.5901e-07,0.000225,15,4,-0.91205,1.0,1.0,1.0,19102,0,-0.91205
GPS2,4,1.7404e-08,2.5901e-07,0.000225,16,4,-0.99538,1.0,1.0,1.0,19101,0,-0.99538
TBL1XR1,4,2.2571e-08,2.5901e-07,0.000225,17,4,-1.3007,1.0,1.0,1.0,19100,0,-1.3007
BRK1,4,2.2765e-08,2.5901e-07,0.000225,18,4,-1.0504,1.0,1.0,1.0,19099,0,-1.0504
UHRF1,4,3.1039e-08,2.5901e-07,0.000225,19,4,-1.6346,1.0,1.0,1.0,19096,0,-1.6346
IRF4,4,3.2919e-08,2.5901e-07,0.000225,20,4,-1.4469,0.99999,0.99999,1.0,19085,0,-1.4469
CREBBP,4,7.8558e-08,2.5901e-07,0.000225,21,4,-1.1008,1.0,1.0,1.0,19097,0,-1.1008
