gene,composite_rank,decile,stratum,batch_no
SETD2,3072.5,0,0,1
RPRD2,1305.5,0,0,1
TMEM30A,1129.5,0,0,1
MAD2L2,2834.5,0,0,1
ARIH1,1188.5,0,0,1
CD3D,976.5,0,0,1
ARGLU1,3060.5,0,0,1
POLR2G,3016.5,0,0,1
POU2F1,2966.5,0,0,1
SMARCA4,2658.5,0,0,1
PPP4R2,3223.5,0,0,1
CCNH,2728.5,0,0,1
TBL1XR1,1005.5,0,0,1
DOCK8,1163.5,0,0,1
SEC24B,3218.5,0,0,1
MED8,2680.5,0,0,1
SMARCB1,968.5,0,0,1
KCNK15,3265.5,0,0,1
MAPK1,3094.5,0,0,1
ARHGEF1,2831.5,0,0,1
PRMT5,2743.5,0,0,1
SRP19,3064.5,0,0,1
EXOSC5,3282.5,0,0,1
CCAR1,1778.5,0,0,1
DDX39B,2988.5,0,0,1
MED17,2944.5,0,0,1
SIVA1,2437.5,0,0,1
RFWD2,1060.5,0,0,1
ATP6V1H,3133.0,0,0,1
ARIH2,3227.5,0,0,1
NFRKB,2811.5,0,0,1
DPM3,1768.5,0,0,1
TIAL1,1175.5,0,0,1
CDK2AP1,2896.5,0,0,1
ANKRD31,3225.5,0,0,1
PSMC2,1421.5,0,0,1
NCOR2,1034.5,0,0,1
NXT1,2840.5,0,0,1
TTC27,2993.5,0,0,1
SATB1,2879.5,0,0,1
DUSP4,1031.5,0,0,1
FANCI,2803.5,0,0,1
FBXO42,1200.5,0,0,1
UXT,1015.5,0,0,1
SGMS1,1586.5,0,0,1
NPIPA5,2890.5,0,0,1
BRPF1,1123.5,0,0,1
AIP,1074.5,0,0,1
KRT4,1932.5,0,0,1
DDX19A,3003.5,0,0,1
USO1,973.5,0,0,1
TBC1D10C,3289.5,0,0,1
C15orf39,3291.5,0,0,1
DDX20,1523.5,0,0,1
KDM1A,2182.5,0,0,1
DCAF7,1090.5,0,0,1
KRTAP10-6,3048.5,0,0,1
FOXRED1,3059.5,0,0,1
IFNGR1,3202.5,0,0,1
HSPA13,2969.5,0,0,1
CT45A9,3357.5,0,0,2
MED30,987.5,0,0,2
RNF7,1206.5,0,0,2
TDG,1084.5,0,0,2
MED25,2994.5,0,0,2
SIK3,2718.5,0,0,2
PLGLB1,3387.5,0,0,2
ZNF592,3005.5,0,0,2
BHLHE40,2823.5,0,0,2
PELO,3153.5,0,0,2
GABPA,3056.5,0,0,2
SNRNP70,1565.5,0,0,2
UBXN7,1400.5,0,0,2
WHSC1,2820.5,0,0,2
SPTBN1,3200.5,0,0,2
MED19,2677.5,0,0,2
ALX1,1823.5,0,0,2
RPAP3,3123.5,0,0,2
PPP4C,1122.5,0,0,2
TOP1,1696.5,0,0,2
CD3G,2857.5,0,0,2
MED12,1165.5,0,0,2
CDS2,1481.5,0,0,2
APH1A,1146.5,0,0,2
C3orf17,3026.5,0,0,2
CCDC71L,3274.5,0,0,2
PDS5B,2748.5,0,0,2
ALKBH5,2821.5,0,0,2
MTF1,1051.5,0,0,2
MGAT1,1495.5,0,0,2
GPKOW,3043.5,0,0,2
POGZ,1366.5,0,0,2
FDX1L,3035.5,0,0,2
SRRD,2026.5,0,0,2
ALG13,2664.5,0,0,2
APBB2,2302.5,0,0,2
MSL2,3321.5,0,0,2
SPCS2,2338.5,0,0,2
LYPLA2,1825.5,0,0,2
AUP1,1758.5,0,0,2
HIRA,1049.5,0,0,2
GATA3,1296.5,0,0,2
CUL3,1083.5,0,0,2
TRAPPC8,3091.5,0,0,2
LSM2,2878.5,0,0,2
CCDC6,2783.5,0,0,2
SLC6A3,2533.5,0,0,2
PTPN2,1434.5,0,0,2
SMCHD1,2919.5,0,0,2
POLR2I,1121.5,0,0,2
LSM10,1324.5,0,0,2
CHTF8,2580.5,0,0,2
CREBBP,1050.5,0,0,2
ELMSAN1,1414.5,0,0,2
ETS1,1008.5,0,0,2
GPN2,2689.5,0,0,2
MYNN,2929.5,0,0,2
RBM33,1861.5,0,0,2
SSRP1,1770.5,0,0,2
GLTSCR1,3335.5,0,0,2
POLR1D,3256.5,0,0,3
MED31,1073.5,0,0,3
OR5M9,2984.5,0,0,3
GTF2A2,1025.5,0,0,3
SERTAD2,3174.5,0,0,3
UCN2,2411.5,0,0,3
MCRS1,1315.5,0,0,3
REV1,2772.5,0,0,3
PDRG1,3149.5,0,0,3
CIAO1,1237.5,0,0,3
ITGA6,2380.5,0,0,3
ABCB7,3214.5,0,0,3
DCAF15,2143.5,0,0,3
PCGF5,1298.5,0,0,3
PCID2,1297.5,0,0,3
PABPC1,1195.5,0,0,3
MAML1,2923.5,0,0,3
UHRF1,994.5,0,0,3
SEC23IP,3192.5,0,0,3
FAM180A,1780.5,0,0,3
RABGEF1,2934.5,0,0,3
PIK3CD,3146.5,0,0,3
DYNLL1,1690.5,0,0,3
FOXP1,1086.5,0,0,3
DIS3,1228.5,0,0,3
SMARCD1,2789.5,0,0,3
ZC3H12A,1046.5,0,0,3
RAC2,2018.5,0,0,3
DPAGT1,1130.5,0,0,3
BCL11B,1068.5,0,0,3
SLC39A7,1102.5,0,0,3
FAM89A,2826.5,0,0,3
EIF3D,1197.5,0,0,3
EIF3F,3136.5,0,0,3
UAP1,2860.5,0,0,3
MAP4K1,3001.5,0,0,3
GANAB,1070.5,0,0,3
SNAPC1,3125.5,0,0,3
CCNC,1111.5,0,0,3
HYPK,1378.5,0,0,3
PEX1,2475.5,0,0,3
WNT1,3106.5,0,0,3
ASNA1,3316.5,0,0,3
KEAP1,2863.5,0,0,3
HIST1H1B,3400.5,0,0,3
STUB1,2883.5,0,0,3
DNM1L,3063.5,0,0,3
PIK3R1,1353.5,0,0,3
ARPC2,2907.5,0,0,3
TAF2,1014.5,0,0,3
POU2F2,2394.5,0,0,3
HDAC3,978.5,0,0,3
GPATCH8,3279.5,0,0,3
DHX36,989.5,0,0,3
CRTC2,1369.5,0,0,3
MAP7D1,3244.5,0,0,3
HNRNPA2B1,3261.5,0,0,3
EIF3E,2770.5,0,0,3
MIDN,983.5,0,0,3
UBE2N,1320.5,0,0,3
RAD51C,3269.5,0,0,4
YBX1,1242.5,0,0,4
EIF3B,1026.5,0,0,4
SMARCC1,1098.5,0,0,4
KIDINS220,1148.5,0,0,4
PFDN6,1691.5,0,0,4
LRRC8A,3297.5,0,0,4
RCE1,2840.5,0,0,4
TRIP12,3074.5,0,0,4
CKS1B,3181.5,0,0,4
BUD13,1658.5,0,0,4
EXOC1,1357.5,0,0,4
HNRNPF,1788.5,0,0,4
SIGLEC8,3011.5,0,0,4
CD28,1077.5,0,0,4
CDC37,1020.5,0,0,4
MTA2,1856.5,0,0,4
PTEN,3030.5,0,0,4
JAK2,2915.5,0,0,4
SH3BP1,3221.5,0,0,4
PCBP1,2233.5,0,0,4
TET2,996.5,0,0,4
WAS,1211.5,0,0,4
ZNHIT2,2716.5,0,0,4
IARS2,1103.5,0,0,4
MRPS33,1560.5,0,0,4
SPTY2D1,2496.5,0,0,4
FOXP3,1269.0,0,0,4
DDOST,2695.5,0,0,4
MED21,2761.5,0,0,4
PLAGL2,2945.5,0,0,4
TANGO6,1088.5,0,0,4
EPHA3,3201.5,0,0,4
PAICS,2757.5,0,0,4
IPPK,2836.5,0,0,4
OR2AG2,3396.5,0,0,4
STK4,3178.5,0,0,4
FUS,2829.5,0,0,4
TLE3,1033.5,0,0,4
MED14,1337.5,0,0,4
STT3B,1351.5,0,0,4
UQCRFS1,3058.5,0,0,4
USP48,2074.5,0,0,4
NUMB,3343.5,0,0,4
CD3E,1000.5,0,0,4
URI1,1161.5,0,0,4
TRAPPC2,3188.5,0,0,4
PSENEN,1272.5,0,0,4
ABCF1,3380.5,0,0,4
GPI,1948.5,0,0,4
MRPS9,2908.5,0,0,4
H3F3B,1420.5,0,0,4
CDK12,1059.5,0,0,4
SMAD3,971.5,0,0,4
PSEN1,2581.5,0,0,4
PDPK1,2755.5,0,0,4
PTHLH,3028.5,0,0,4
SMAD7,3002.5,0,0,4
KDM6B,2843.5,0,0,4
FLCN,3080.5,0,0,4
RPRD1B,1027.5,0,0,5
CYFIP2,3134.5,0,0,5
OTUD5,1721.5,0,0,5
BTBD16,1960.5,0,0,5
CDC73,2997.5,0,0,5
ZBTB17,3194.5,0,0,5
ZAP70,2706.5,0,0,5
DRAP1,2267.5,0,0,5
BAP1,3022.5,0,0,5
PEX19,2962.5,0,0,5
WDR25,3032.5,0,0,5
SRSF5,1191.5,0,0,5
EP300,1010.5,0,0,5
TAF7L,3240.5,0,0,5
C21orf59,3198.5,0,0,5
SMARCE1,1007.5,0,0,5
PIDD1,2992.5,0,0,5
LCP2,990.5,0,0,5
ANKMY2,3242.5,0,0,5
PSMF1,2971.5,0,0,5
ECT2,1510.5,0,0,5
NFKB2,2697.5,0,0,5
NAB2,1024.5,0,0,5
KANSL2,2081.5,0,0,5
GFER,1465.5,0,0,5
LARP1,3069.5,0,0,5
RNF113A,992.5,0,0,5
CHTF18,1240.5,0,0,5
KMT2A,1734.5,0,0,5
JMJD1C,2791.5,0,0,5
DENR,3260.5,0,0,5
MOB3C,2254.5,0,0,5
