gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts
2023-03-01 00:00:00,0.080945207724002,1.5665168278530832,0.11494520954412,3,0.843,0.7084472251108588,1000,32,0.157,4,1500,0.4684258567770211,5,8,0.0807066586703394
2023-03-02 00:00:00,0.0863661266420265,1.5627110919231797,0.11494520954412,3,0.2473333333333333,0.7084472251108588,1000,32,0.2473333333333333,4,1500,0.4684258567770211,2,8,-0.0577449228754946
2023-03-04 00:00:00,0.1083999650893117,1.5639467862677976,0.11494520954412,3,0.8206666666666667,0.7084472251108588,1000,16,0.1793333333333333,4,1500,0.4684258567770211,3,4,0.1010816622539006
2023-03-05 00:00:00,0.1172964312374564,1.5665168278530832,0.11494520954412,3,0.1626666666666666,0.7084472251108588,1000,16,0.1626666666666666,4,1500,0.4684258567770211,5,4,-0.1155473977538675
2023-09-02 00:00:00,0.1081917722505123,1.5697311140197716,0.11494520954412,3,0.0726666666666666,0.7084472251108588,1000,16,0.0726666666666666,4,1500,0.4684258567770211,6,4,-0.1541210881374069
2023-09-04 00:00:00,0.1121135478271048,1.5639467862677976,0.11494520954412,3,0.9093333333333332,0.7084472251108588,1000,16,0.0906666666666666,4,1500,0.4684258567770211,3,4,0.1482964704776271
2023-09-05 00:00:00,0.122298333525745,1.550234325699251,0.11494520954412,3,0.009,0.7084472251108588,1000,16,0.009,4,1500,0.4684258567770211,4,4,-0.2948009479886631
2023-09-07 00:00:00,0.1095492353907055,1.5697311140197716,0.11494520954412,3,0.0656666666666666,0.7084472251108588,1000,16,0.0656666666666666,4,1500,0.4684258567770211,6,4,-0.170010112107872
2023-09-12 00:00:00,0.1189712408795,1.5556958958618938,0.11494520954412,3,0.156,0.7084472251108588,1000,16,0.156,4,1500,0.4684258567770211,8,4,-0.1202723505236496
2023-09-15 00:00:00,0.1193015778429002,1.5556958958618938,0.11494520954412,3,0.9433333333333334,0.7084472251108588,1000,16,0.0566666666666666,4,1500,0.4684258567770211,8,4,0.1883037030505254
A2ML1,0.1102851280120831,1.5627110919231797,0.11494520954412,3,0.232,0.7084472251108588,1000,16,0.232,4,1500,0.4684258567770211,2,4,-0.0811490856070948
AAK1,0.10996621335108274,1.5633554843054513,0.11494520954412007,3,0.10466666666666667,0.7084472251108588,1000,16,0.10466666666666667,4,1500,0.4684258567770211,10,4,-0.13749314210713007
AAMP,0.1135041054082008,1.5658840941099257,0.11494520954412,3,0.6693333333333333,0.7084472251108588,1000,16,0.3306666666666666,4,1500,0.4684258567770211,7,4,0.0500975277258153
AANAT,0.1123745782092477,1.5639467862677976,0.11494520954412,3,0.9236666666666666,0.7084472251108588,1000,16,0.0763333333333333,4,1500,0.4684258567770211,3,4,0.1586765403525131
AARS2,0.1073135278264237,1.5658840941099257,0.11494520954412,3,0.737,0.7084472251108588,1000,16,0.263,4,1500,0.4684258567770211,7,4,0.0664477492902838
AARSD1,0.1084531713583431,1.5697311140197716,0.11494520954412,3,0.875,0.7084472251108588,1000,16,0.125,4,1500,0.4684258567770211,6,4,0.1255318234556089
ABCA13,0.1173728387415858,1.5556958958618938,0.11494520954412,3,0.081,0.7084472251108588,1000,16,0.081,4,1500,0.4684258567770211,8,4,-0.1671596987081994
