gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
2023-03-01 00:00:00,0.0807066586703394,0.080945207724002,0.8406305970372576,0.15936940296274232,0.8406305970372576,0.15936940296274232,0.003373992570285613,1.1096414371971421e-07,32,8,4,3,1000,1500,False,-0.0023694029627423507,0.002369402962742323,-0.0006260074297143869,1.1096414371971421e-07
2023-03-02 00:00:00,-0.0577449228754946,0.0863661266420265,0.25187337625270756,0.7481266237472924,0.7481266237472924,0.25187337625270756,0.002533201681913669,1.5225437895448474e-07,32,8,4,3,1000,1500,False,0.5007932904139591,0.004540042919374265,0.00019986834858036874,1.5225437895448474e-07
2023-03-04 00:00:00,0.1010816622539006,0.1083999650893117,0.8244577968344897,0.17554220316551034,0.8244577968344897,0.17554220316551034,0.03335762920452783,0.00011660439502862514,16,4,4,3,1000,1500,False,0.0037911301678230647,-0.0037911301678229536,0.003024295871194533,0.00011660439502862514
2023-03-05 00:00:00,-0.1155473977538675,0.1172964312374564,0.16229023330604586,0.8377097666939541,0.8377097666939541,0.16229023330604586,0.058111421855719686,0.0005235164041617406,16,4,4,3,1000,1500,False,0.6750431000272875,-0.00037643336062073707,0.002111421855719685,0.0005235164041617406
2023-09-02 00:00:00,-0.1541210881374069,0.1081917722505123,0.07714834111629587,0.9228516588837041,0.9228516588837041,0.07714834111629587,0.08878859574638437,0.0006945519859173517,16,4,4,3,1000,1500,False,0.8501849922170375,0.004481674449629269,-0.0018780709202822349,-0.0003054480140826483
2023-09-04 00:00:00,0.1482964704776271,0.1121135478271048,0.9070381759755181,0.09296182402448194,0.9070381759755181,0.09296182402448194,0.08803987377604611,0.0008533478632440428,16,4,4,3,1000,1500,False,-0.0022951573578151585,0.002295157357815339,0.001039873776046113,0.0005200145299107428
2023-09-05 00:00:00,-0.2948009479886631,0.122298333525745,0.007965190141894785,0.9920348098581052,0.9920348098581052,0.007965190141894785,0.48304615823806074,0.04668755966037214,16,4,4,3,1000,1500,False,0.9830348098581052,-0.0010348098581052147,-0.006620508428605842,0.0030208929937055456
2023-09-07 00:00:00,-0.170010112107872,0.1095492353907055,0.06034236245309643,0.9396576375469036,0.9396576375469036,0.06034236245309643,0.11770385964483487,0.0012965872231768746,16,4,4,3,1000,1500,False,0.8739909708802369,-0.0053243042135701635,0.005037192978168278,-3.674611015642526e-05
2023-09-12 00:00:00,-0.1202723505236496,0.1189712408795,0.1560234504030764,0.8439765495969236,0.8439765495969236,0.1560234504030764,0.06564059537962041,0.0007071364419202167,16,4,4,3,1000,1500,False,0.6879765495969236,2.3450403076413773e-05,0.006640595379620418,4.0469775253616736e-05
2023-09-15 00:00:00,0.1883037030505254,0.1193015778429002,0.9427612920107395,0.057238707989260444,0.9427612920107395,0.057238707989260444,0.17459311209895237,0.0044918331059104555,16,4,4,3,1000,1500,False,-0.0005720413225938081,0.0005720413225938428,0.004926445432285764,-0.0015081668940895446
A2ML1,-0.0811490856070948,0.1102851280120831,0.23092265525714017,0.7690773447428598,0.7690773447428598,0.23092265525714017,0.02387916799392198,7.303457443662689e-05,16,4,4,3,1000,1500,False,0.5370773447428598,-0.001077344742859837,-0.0007874986727446215,-0.0002602987588966731
AAK1,-0.13749314210713,0.1099662133510827,0.10559102845264068,0.8944089715473593,0.8944089715473593,0.10559102845264068,0.06976682047621229,0.0004894401753787275,16,4,4,3,1000,1500,False,0.7897423048806927,0.000924361785974076,-0.004566512857121022,-0.0005105598246212725
AAMP,0.0500975277258153,0.1135041054082008,0.6705281252588442,0.3294718747411558,0.6705281252588442,0.3294718747411558,0.014862753623671229,3.7518273534598464e-05,16,4,4,3,1000,1500,False,0.001194791925510863,-0.0011947919255108075,0.0028627536236712284,3.7518273534598464e-05
AANAT,0.1586765403525131,0.1123745782092477,0.9210297827370092,0.0789702172629908,0.9210297827370092,0.0789702172629908,0.10428866683536567,0.001193253782516757,16,4,4,3,1000,1500,False,-0.002636883929657441,0.0026368839296575103,-0.00037799983130093473,0.0001932537825167569
AARS2,0.0664477492902838,0.1073135278264237,0.732105278317622,0.26789472168237805,0.732105278317622,0.26789472168237805,0.015083606655985349,2.6784801818776895e-05,16,4,4,3,1000,1500,False,-0.004894721682378034,0.004894721682378034,0.0010836066559853485,2.6784801818776895e-05
AARSD1,0.1255318234556089,0.1084531713583431,0.8764608054006797,0.12353919459932033,0.8764608054006797,0.12353919459932033,0.05388503138554568,0.0002773939945711042,16,4,4,3,1000,1500,False,0.001460805400679721,-0.0014608054006796656,0.0022183647188790817,0.0002773939945711042
ABCA13,-0.1671596987081994,0.1173728387415858,0.07719761888496579,0.9228023811150342,0.9228023811150342,0.07719761888496579,0.1288977820388018,0.0022859007708613288,16,4,4,3,1000,1500,False,0.8418023811150342,-0.003802381115034212,-0.004768884627864789,0.0006192341041947288
ABCA2,0.1925149638501007,0.1115877183984708,0.9577573754024071,0.042242624597592836,0.9577573754024071,0.042242624597592836,0.16772024231299082,0.0029297179143960603,16,4,4,3,1000,1500,False,9.070873574035243e-05,-9.070873574046345e-05,0.004386908979657517,-7.02820856039398e-05
ABCA5,-0.1351669058591445,0.1136425776156536,0.11714041660636276,0.8828595833936372,0.8828595833936372,0.11714041660636276,0.0735305344602637,0.0006628655206028922,16,4,4,3,1000,1500,False,0.7648595833936372,-0.000859583393637231,-0.004469465539736303,0.0006628655206028922
ABCB11,0.1279366742742206,0.1171568654732429,0.8625860327953856,0.13741396720461446,0.8625860327953856,0.13741396720461446,0.07109259419468741,0.0007472370981953506,16,4,4,3,1000,1500,False,-0.006747300537947698,0.0067473005379477535,-0.0029074058053125823,-0.0002527629018046494
ABCB6,0.1404590461535995,0.1121140153844305,0.8948649825150508,0.10513501748494924,0.8948649825150508,0.10513501748494924,0.07740728252315757,0.00067082133229065,16,4,4,3,1000,1500,False,-0.00813501748494927,0.008135017484949339,0.005740615856490966,0.00033748799895735003
ABCB7,-0.2660492473396895,0.1119864803675599,0.00875722006476587,0.9912427799352341,0.9912427799352341,0.00875722006476587,0.3808810124482787,0.018349442949552867,16,4,4,3,1000,1500,False,0.9802427799352341,-0.00224277993523413,-0.0037856542183878905,0.000682776282886266
ABCC12,0.1234885331093429,0.1171957232959718,0.8539886821501155,0.14601131784988458,0.8539886821501155,0.14601131784988458,0.06616851711244584,0.0006575828233332675,16,4,4,3,1000,1500,False,-0.002677984516551213,0.0026779845165512683,-0.003831482887554166,0.00032424948999996755
ABCC4,0.0431353773556014,0.1136044013677217,0.6479152411921194,0.3520847588078806,0.6479152411921194,0.3520847588078806,0.013140281422547114,2.978187118913609e-05,16,4,4,3,1000,1500,False,0.000915241192119387,-0.000915241192119387,-0.0008597185774528865,2.978187118913609e-05
ABCC6,0.1420493060366843,0.1141982167253466,0.8932288245282645,0.10677117547173548,0.8932288245282645,0.10677117547173548,0.08336710574664219,0.0008608386024526841,16,4,4,3,1000,1500,False,0.002562157861597747,-0.002562157861597719,-0.0006328942533578158,0.0005275052691193842
ABCC8,0.1565912360568617,0.1034216208139666,0.9350004471939002,0.06499955280609987,0.9350004471939002,0.06499955280609987,0.08278053002060991,0.0004493243614928629,16,4,4,3,1000,1500,False,-0.0009995528060998682,0.0009995528060999653,-0.005886136646056694,0.0004493243614928629
ABCD3,-0.0944272568767589,0.1173937576181833,0.2105935295605621,0.7894064704394379,0.7894064704394379,0.2105935295605621,0.040350919192731725,0.00027554949568200915,16,4,4,3,1000,1500,False,0.5784064704394379,-0.00040647043943789485,-0.0006490808072682763,0.00027554949568200915
ABCF1,0.2355388404055591,0.118452389002603,0.9766200484642412,0.023379951535758822,0.9766200484642412,0.023379951535758822,0.29315683264773007,0.012786453775059057,16,4,4,3,1000,1500,False,0.002286715130907835,-0.0022867151309077793,-0.004176500685603213,0.0024531204417257563
ABCG2,-0.0927571482749242,0.1065523954180236,0.19200518143090284,0.8079948185690972,0.8079948185690972,0.19200518143090284,0.026002250830214436,6.620111610709362e-05,16,4,4,3,1000,1500,False,0.6066614852357639,-0.00932815190243047,0.0023355841635478367,6.620111610709362e-05
ABCG5,-0.2860659482253588,0.1203282844918447,0.008718078990502587,0.9912819210094974,0.9912819210094974,0.008718078990502587,0.45390596169800496,0.037708505545299524,16,4,4,3,1000,1500,False,0.9836152543428308,0.0010514123238359865,0.006239295031338354,0.0010418388786329266
ABCG8,0.0326484580977523,0.1197366609747386,0.6074461105660869,0.3925538894339131,0.6074461105660869,0.3925538894339131,0.015513421425221073,5.179574012611163e-05,16,4,4,3,1000,1500,False,-0.01055388943391311,0.01055388943391311,-0.00015324524144552654,5.179574012611163e-05
ABHD2,-0.2118069811073939,0.1068101138266668,0.02368239429483121,0.9763176057051688,0.9763176057051688,0.02368239429483121,0.20448821743523693,0.003485976193681908,16,4,4,3,1000,1500,False,0.9526509390385022,1.5727628164610707e-05,-0.00251178256476306,-0.001847357139651392
