gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
ABR,-0.17640816673547907,0.33992960384830423,0.309,0.309,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ACACA,0.10102870117489109,0.3406196318043339,0.612,0.388,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ACTL6A,-0.019530295400863894,0.35117928410755805,0.464,0.464,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ADCY6,0.3370614870561043,0.3576988943393903,0.825,0.17500000000000004,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
AKIRIN2,0.08019978426755375,0.36874679542419136,0.584,0.41600000000000004,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALDOA,0.5619371938473501,0.387707222461567,0.918,0.08199999999999996,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALG1,0.5026905627957554,0.3575994772812416,0.922,0.07799999999999996,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALG11,0.2662286207249271,0.34213168492005164,0.775,0.22499999999999998,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALG13,0.6541898040087317,0.3764250279013167,0.961,0.039000000000000035,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALG14,0.07766594431343087,0.3412459353926989,0.606,0.394,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALG2,1.0208459570182142,0.42328942315143747,0.991,0.009000000000000008,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALG9,-0.055224098743208085,0.3311997920614632,0.437,0.437,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ALYREF,0.05052906334879609,0.3625773222698689,0.56,0.43999999999999995,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ANKMY2,-0.031257163750034664,0.32588787604180924,0.461,0.461,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ANKRD17,-1.017699846171583,0.4405615745870831,0.007,0.007,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ANKUB1,-0.22818830429086506,0.3401662030510813,0.246,0.246,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
APH1A,0.26618042292690514,0.3512356995416271,0.777,0.22299999999999998,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
APLP1,-0.227762088121237,0.3427863484795436,0.242,0.242,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
AQP3,0.17407543499145114,0.34205997748649697,0.699,0.30100000000000005,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARF5,-0.3174877649249429,0.34108774147887894,0.175,0.175,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARGLU1,-0.8331617058224666,0.3567376467909851,0.013,0.013,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARHGEF1,0.22996579104879158,0.360963893655427,0.745,0.255,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARHGEF33,-0.3866690838347596,0.3312735755333578,0.126,0.126,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARID1A,1.1406365533131162,0.41420098273657563,0.997,0.0030000000000000027,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARID3A,-0.16010278931996955,0.3314403416892487,0.307,0.307,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARID4B,0.22413871084017561,0.3515251067552503,0.745,0.255,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARIH2,0.04242280913458668,0.3429224004825396,0.556,0.44399999999999995,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ARMC7,0.6526511697379904,0.38348637016749415,0.954,0.04600000000000004,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ASF1A,-0.753499606241221,0.3834272080579172,0.028,0.028,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
ATP5H,0.16182587505545548,0.3560098716668804,0.692,0.30800000000000005,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BAD,-0.30601290749972515,0.32533027720828517,0.16,0.16,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BAG3,-0.20067580392193574,0.3233492509393265,0.272,0.272,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BAP1,0.1686554389231013,0.3474210513514826,0.681,0.31899999999999995,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BCL11B,0.4059535793346412,0.3577957072624093,0.879,0.121,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BCL7B,0.15106781666697508,0.33103406417789366,0.673,0.32699999999999996,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BHLHE40,-0.8921394716233317,0.37399293442100784,0.011,0.011,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BRPF1,0.12935317534691695,0.34285023936416154,0.65,0.35,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BTF3,-0.08876407757257465,0.3572562291788762,0.412,0.412,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
BUD31,0.14903704232927836,0.39019449032239417,0.639,0.361,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
C18orf63,-0.19737261821877136,0.3493720993587627,0.282,0.282,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
C1orf21,0.02899827799846742,0.33013471713132536,0.533,0.46699999999999997,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
C21orf59,0.2434663136014817,0.35632486263255436,0.753,0.247,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
