gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
2023-09-04 00:00:00,0.1322360495286891,0.0983593073872548,0.9105934148711936,0.08940658512880639,0.9105934148711936,0.08940658512880639,0.04404464886243664,9.238253113242316e-05,16,4,4,2,1000,1000,False,-0.0029065851288063715,0.0029065851288063993,0.004044648862436641,-0.0009076174688675768
2023-09-05 00:00:00,-0.2289808262463572,0.1121475939015366,0.02058662996337557,0.9794133700366244,0.9794133700366244,0.02058662996337557,0.2632814197066544,0.00783247840318904,16,4,4,2,1000,1000,False,0.9589133700366245,8.662996337556808e-05,0.009281419706654415,-0.0041675215968109604
2023-09-07 00:00:00,-0.1391935698444188,0.1072881112072564,0.09725004274467652,0.9027499572553235,0.9027499572553235,0.09725004274467652,0.06698036053074131,0.00038554849745916147,16,4,4,2,1000,1000,False,0.8047499572553235,-0.0007499572553234801,0.0019803605307413125,-0.0011144515025408386
2023-09-15 00:00:00,0.1841742114943694,0.1036557428218129,0.9621983821346161,0.03780161786538389,0.9621983821346161,0.03780161786538389,0.13191139043123196,0.0011561804959931779,16,4,4,2,1000,1000,False,0.0006983821346160379,-0.0006983821346160102,0.0024113904312319523,0.00015618049599317786
ABCA5,-0.0734066812809665,0.0912404988021385,0.21054242959348368,0.7894575704065163,0.7894575704065163,0.21054242959348368,0.006526741556200436,1.4664836942848747e-06,16,4,4,2,1000,1000,False,0.5774575704065164,-0.001457570406516312,0.0010267415562004367,1.4664836942848747e-06
ABCB6,0.1314882748189079,0.1068853391761992,0.8906852657856267,0.10931473421437332,0.8906852657856267,0.10931473421437332,0.057474860182693426,0.0002826617958503623,16,4,4,2,1000,1000,False,0.0011852657856267212,-0.0011852657856266796,0.0014748601826934243,0.0002826617958503623
ABCB7,-0.270802819779932,0.1059798229323897,0.005305883097373787,0.9946941169026262,0.9946941169026262,0.005305883097373787,0.39146704483185946,0.015284085187539544,16,4,4,2,1000,1000,False,0.9946941169026262,0.005305883097373787,0.019374021576045564,-0.007971728765948755
ABCF1,0.2670414883028965,0.1024802920016397,0.9954167854418657,0.004583214558134313,0.9954167854418657,0.004583214558134313,0.37387474625366823,0.011506973485842373,16,4,4,2,1000,1000,False,-0.004583214558134263,0.004583214558134313,0.048293350904831056,-0.011748840467645925
ABCG2,-0.0943683581760861,0.1223733141078299,0.2203085848028803,0.7796914151971197,0.7796914151971197,0.2203085848028803,0.0470783304083893,0.00045929252303132884,16,4,4,2,1000,1000,False,0.5666914151971197,0.007308584802880297,0.0030783304083893057,0.00045929252303132884
ABCG5,-0.2981137680715615,0.1256914930022147,0.00885108545751856,0.9911489145424814,0.9911489145424814,0.00885108545751856,0.4940143371262281,0.05411450109975566,16,4,4,2,1000,1000,False,0.9678931005889931,-0.01440472849596974,0.02889805805646073,-0.015652940760709444
