gene,sgrna,u_mean
,ABR||81,1.5185833307625713
,ABR||82,1.5948112605721865
,ABR||83,1.546283570714101
,ABR||84,1.5566242296345372
,ACACA||89,1.5817553630310235
,ACACA||90,1.595992891884114
,ACACA||91,1.5815830584325448
,ACACA||92,1.5914823236637279
,ACTL6A||205,1.5700912294370426
,ACTL6A||206,1.5372908663589282
,ACTL6A||207,1.5830168414676455
,ACTL6A||208,1.5626988955850274
,ADCY6||293,1.5605934957194076
,ADCY6||294,1.6159313981879526
,ADCY6||295,1.598962336907574
,ADCY6||296,1.5518775371017204
,AKIRIN2||41635,1.594445370417012
,AKIRIN2||41636,1.5564252936981067
,AKIRIN2||41637,1.581727349913191
,AKIRIN2||41638,1.5734492995847387
,ALDOA||641,1.5600190499206195
,ALDOA||642,1.5900548592788855
,ALDOA||643,1.5689135599556416
,ALDOA||644,1.5604279373007173
,ALG11||72885,1.5658530268001702
,ALG11||72886,1.4214196717874923
,ALG11||72887,1.5212316622463904
,ALG11||72888,1.6048827581688176
,ALG13||50199,1.5665553940782428
,ALG13||50200,1.538699203661561
,ALG13||50201,1.5588940299330225
,ALG13||50202,1.6010734388783876
,ALG14||64601,1.5902976854692275
,ALG14||64602,1.560082446959266
,ALG14||64603,1.5894705369578437
,ALG14||64604,1.5492669305207285
,ALG1||43859,1.5725043665563603
,ALG1||43860,1.561207747482336
,ALG1||43861,1.5633513106755461
,ALG1||43862,1.5093273854137867
,ALG2||54839,1.5620991497531675
,ALG2||54840,1.4578408133946053
,ALG2||54841,1.5612687833747454
,ALG2||54842,1.5586730894307013
,ALG9||49963,1.6017521174849854
,ALG9||49964,1.566714882189537
,ALG9||49965,1.5887225652812211
,ALG9||49966,1.5830797481251286
,ALYREF||27289,1.5760344283079726
,ALYREF||27290,1.5675321460053424
,ALYREF||27291,1.5455539065020893
,ALYREF||27292,1.5312043708804224
,ANKMY2||44875,1.59682524451577
,ANKMY2||44876,1.613127056703794
,ANKMY2||44877,1.5577264302909382
,ANKMY2||44878,1.5793715358436637
,ANKRD17||34475,1.5931916617730315
,ANKRD17||34476,1.58185646455927
,ANKRD17||34477,1.5863057855622846
,ANKRD17||34478,1.5807420782383037
,ANKUB1||71313,1.5346631990408168
,ANKUB1||71314,1.591222159420924
,ANKUB1||71315,1.590356584879841
,ANKUB1||71316,1.5146116440438755
,APH1A||37827,1.6009994038990287
,APH1A||37828,1.5945128291143151
,APH1A||37829,1.5772089968321492
,APH1A||37830,1.5654140393683418
,APLP1||933,1.5837454916527456
,APLP1||934,1.6093779641066233
,APLP1||935,1.6199649115992087
,APLP1||936,1.603529425742515
,AQP3||1025,1.6107185002763182
,AQP3||1026,1.6200121547197814
,AQP3||1027,1.5415196081384286
,AQP3||1028,1.5762055484413497
,ARF5||1089,1.5407381615853895
,ARF5||1090,1.5833847785026105
,ARF5||1091,1.5593190204259728
,ARF5||1092,1.558916078792153
,ARGLU1||41511,1.5774177796370241
,ARGLU1||41512,1.5925577805287325
,ARGLU1||41513,1.5812274121273877
,ARGLU1||41514,1.5875167353784898
,ARHGEF1||23985,1.5806129252075283
,ARHGEF1||23986,1.5575175680006244
,ARHGEF1||23987,1.5153040254110792
,ARHGEF1||23988,1.5726747711877005
,ARHGEF33||75556,1.5650973875504737
,ARHGEF33||75557,1.6045365568473777
,ARHGEF33||75558,1.5813799695033228
,ARHGEF33||75559,1.6031342105966175
,ARID1A||21513,1.5967435981339502
,ARID1A||21514,1.5786166088515472
,ARID1A||21515,1.577435540049051
,ARID1A||21516,1.5925960964094248
,ARID3A||5053,1.5578340085538358
,ARID3A||5054,1.594352599856873
,ARID3A||5055,1.5953696893853742
,ARID3A||5056,1.5705190507521634
,ARID4B||39411,1.540112507835547
,ARID4B||39412,1.5600055014788654
,ARID4B||39413,1.6053928233267407
,ARID4B||39414,1.5827685761441646
,ARIH2||28041,1.5827581692071888
,ARIH2||28042,1.6163053780027477
,ARIH2||28043,1.5746825697008535
,ARIH2||28044,1.5978798582050013
,ARMC7||49467,1.582603036793595
,ARMC7||49468,1.5635374872486318
,ARMC7||49469,1.6073637013259696
,ARMC7||49470,1.5304310714285843
,ASF1A||33879,1.6074848158960562
,ASF1A||33880,1.5429946729913504
,ASF1A||33881,1.6182671645893065
,ASF1A||33882,1.5596461317865333
,ATP5H||28213,1.567208570270785
,ATP5H||28214,1.5822856889779375
,ATP5H||28215,1.5932713013594928
,ATP5H||28216,1.5824651208031457
,BAD||1561,1.588471355229568
,BAD||1562,1.5716007762923656
,BAD||1563,1.584864534753913
,BAD||1564,1.5520777670630372
,BAG3||25121,1.5873480031861085
,BAG3||25122,1.5825870132479514
,BAG3||25123,1.5689684345530388
,BAG3||25124,1.5678790241556986
,BAP1||21569,1.6094285247990736
,BAP1||21570,1.5693326113540664
,BAP1||21571,1.5849023657228376
,BAP1||21572,1.5661954988132984
,BCL11B||48243,1.5380398034526137
,BCL11B||48244,1.5812552541338343
,BCL11B||48245,1.5668903822324964
,BCL11B||48246,1.5564401534839376
,BCL7B||24373,1.5601688093356074
,BCL7B||24374,1.5781047674504474
,BCL7B||24375,1.5979676819919857
,BCL7B||24376,1.5978782991421618
,BHLHE40||22297,1.5659719248198103
,BHLHE40||22298,1.574721934724753
,BHLHE40||22299,1.5689836864146456
,BHLHE40||22300,1.5514831527656783
,BRPF1||21013,1.583607748539098
,BRPF1||21014,1.5848440294665835
,BRPF1||21015,1.5948105167931417
,BRPF1||21016,1.5634652586834423
,BTF3||1917,1.55057674309652
,BTF3||1918,1.571232644016572
,BTF3||1919,1.5640191955321088
,BTF3||1920,1.4659930118042646
,BUD31||23337,1.531632276982693
,BUD31||23338,1.553661853982912
,BUD31||23339,1.4898532614605433
,BUD31||23340,1.5344595878730714
,C18orf63||73890,1.5813967900982602
,C18orf63||73891,1.577567826550007
,C18orf63||73892,1.578830470493161
,C18orf63||73893,1.5425321949128177
