gene,nb_improved_effect,nb_improved_psp,nb_improved_lfsr,bb_effect,bb_psp,bb_lfsr,pl_effect,pl_psp,pl_lfsr,nb_joint_effect,nb_joint_psp,nb_joint_lfsr
AIP,-0.255,0.275,0.275,-0.594,0.004,0.004,-0.625,0.0,0.0,-0.8041669321827616,0.031,0.031
ALG1,0.32,0.763,0.237,0.777,0.999,0.001,0.934,1.0,0.0,0.0985097081044662,0.58,0.42
ALG11,0.234,0.733,0.267,0.708,0.995,0.005,0.656,1.0,0.0,0.0417979618523384,0.538,0.4619999999999999
ALG2,0.557,0.889,0.1109999999999999,1.134,1.0,0.0,1.306,1.0,0.0,0.4746121538124493,0.844,0.156
AMD1,-0.193,0.339,0.339,-0.426,0.031,0.031,-0.413,0.0,0.0,-0.6018879421719504,0.102,0.102
ANKRD17,-0.271,0.267,0.267,-0.752,0.002,0.002,-0.663,0.0,0.0,-0.8511489970071374,0.043,0.043
APH1A,0.159,0.651,0.349,0.442,0.973,0.027,0.57,1.0,0.0,-0.0523761737095736,0.463,0.463
ARID1A,0.529,0.928,0.0719999999999999,1.175,1.0,0.0,1.408,1.0,0.0,0.6730963775527928,0.953,0.047
ARIH1,-0.193,0.334,0.334,-0.518,0.015,0.015,-0.467,0.0,0.0,-0.6697772434277752,0.074,0.074
ARMC7,0.344,0.784,0.2159999999999999,0.841,0.999,0.001,0.829,1.0,0.0,0.1765244034108834,0.624,0.376
BAZ1B,-0.209,0.297,0.297,-0.59,0.007,0.007,-0.566,0.0,0.0,-0.7656458619205955,0.035,0.035
BCL11B,0.213,0.678,0.3219999999999999,0.667,0.999,0.001,0.696,1.0,0.0,0.047525302148767,0.544,0.4559999999999999
BRK1,-0.229,0.3,0.3,-0.554,0.027,0.027,-0.625,0.0,0.0,-0.7885559438084176,0.046,0.046
BRPF1,0.142,0.622,0.378,0.506,0.969,0.031,0.418,1.0,0.0,-0.1102991174545132,0.403,0.403
C16orf72,-0.234,0.28,0.28,-0.519,0.009,0.009,-0.563,0.0,0.0,-0.7205478652811118,0.062,0.062
CARM1,-0.18,0.33,0.33,-0.351,0.071,0.071,-0.557,0.0,0.0,-0.6626695414031123,0.069,0.069
CBFB,0.44,0.854,0.146,0.904,1.0,0.0,1.159,1.0,0.0,0.4006666362602132,0.824,0.176
CCNC,-0.24,0.247,0.247,-0.676,0.004,0.004,-0.672,0.0,0.0,-0.9127443364608042,0.015,0.015
CD28,0.248,0.72,0.28,0.577,0.986,0.014,0.502,1.0,0.0,-0.00615050635946,0.508,0.492
CD3D,0.531,0.885,0.1149999999999999,1.356,1.0,0.0,1.188,1.0,0.0,0.5730828249898308,0.895,0.1049999999999999
CD3E,0.401,0.847,0.153,1.008,1.0,0.0,0.983,1.0,0.0,0.3053087984302572,0.754,0.246
CDC37,0.331,0.777,0.2229999999999999,0.816,1.0,0.0,0.755,1.0,0.0,0.1256843685753159,0.597,0.403
CDK12,0.234,0.719,0.281,0.656,0.996,0.004,0.659,1.0,0.0,0.0628700544689624,0.562,0.4379999999999999
CHD1,-0.149,0.327,0.327,-0.491,0.027,0.027,-0.44,0.0,0.0,-0.7600191883380164,0.027,0.027
CHTF18,-0.206,0.289,0.289,-0.396,0.059,0.059,-0.403,0.0,0.0,-0.6411756507483727,0.069,0.069
CIAO1,-0.139,0.374,0.374,-0.467,0.023,0.023,-0.347,0.0,0.0,-0.6002374384147822,0.105,0.105
CREBBP,-0.304,0.231,0.231,-0.698,0.003,0.003,-0.824,0.0,0.0,-0.917949204895532,0.014,0.014
CRLS1,0.152,0.633,0.367,0.358,0.93,0.0699999999999999,0.359,1.0,0.0,-0.1845026574032448,0.34,0.34
CRTC2,0.165,0.644,0.356,0.356,0.918,0.0819999999999999,0.431,1.0,0.0,-0.1303256905399055,0.378,0.378
CSNK2A1,0.255,0.703,0.297,0.585,0.997,0.003,0.519,1.0,0.0,-0.0227080783389428,0.462,0.462
CTBP1,0.161,0.649,0.351,0.364,0.897,0.1029999999999999,0.379,1.0,0.0,-0.0610129715361879,0.433,0.433
CTDNEP1,0.237,0.748,0.252,0.554,0.986,0.014,0.726,1.0,0.0,-0.0067861838055035,0.503,0.497
CUL3,-0.261,0.267,0.267,-0.651,0.005,0.005,-0.476,0.0,0.0,-0.6670969704103137,0.087,0.087
CYLD,0.276,0.756,0.244,0.657,0.999,0.001,0.787,1.0,0.0,0.1159458447978174,0.62,0.38
DAD1,1.085,0.992,0.008,2.219,1.0,0.0,1.713,1.0,0.0,1.2385946918693391,0.993,0.007
DCAF7,0.264,0.725,0.275,0.525,0.979,0.021,0.618,1.0,0.0,-0.0023234321355636,0.494,0.494
DCUN1D5,0.124,0.618,0.382,0.385,0.952,0.048,0.348,1.0,0.0,-0.1188955290433894,0.401,0.401
DDX6,-0.169,0.365,0.365,-0.457,0.015,0.015,-0.44,0.0,0.0,-0.6706359453154684,0.071,0.071
DHDDS,0.211,0.689,0.311,0.357,0.929,0.0709999999999999,0.647,1.0,0.0,-0.0823057481582289,0.427,0.427
DHX36,0.418,0.836,0.164,1.04,1.0,0.0,0.98,1.0,0.0,0.2722297248457223,0.726,0.274
DIS3,0.194,0.666,0.3339999999999999,0.494,0.97,0.03,0.691,1.0,0.0,-0.0732906464647318,0.427,0.427
DNTTIP1,0.182,0.658,0.3419999999999999,0.625,0.996,0.004,0.578,1.0,0.0,-0.0130241206966764,0.497,0.497
DOCK8,-0.193,0.358,0.358,-0.43,0.028,0.028,-0.41,0.0,0.0,-0.6371057897870517,0.097,0.097
DOHH,0.198,0.691,0.309,0.481,0.965,0.035,0.568,1.0,0.0,-0.1374362133776039,0.366,0.366
DPAGT1,0.251,0.713,0.287,0.559,0.987,0.013,0.603,1.0,0.0,-0.0438668666037429,0.477,0.477
DPF2,0.45,0.878,0.122,0.939,1.0,0.0,1.156,1.0,0.0,0.4229441813416383,0.833,0.167
DSCC1,-0.184,0.315,0.315,-0.553,0.003,0.003,-0.571,0.0,0.0,-0.8051238094649168,0.025,0.025
DUSP4,0.249,0.736,0.264,0.692,0.999,0.001,0.765,1.0,0.0,0.0913600066421877,0.594,0.406
EED,-0.206,0.331,0.331,-0.665,0.006,0.006,-0.587,0.0,0.0,-0.7719611796452464,0.033,0.033
EIF3B,0.122,0.621,0.379,0.676,0.998,0.002,0.423,1.0,0.0,0.0213437704112337,0.521,0.479
EIF3D,0.269,0.745,0.255,0.572,0.988,0.012,0.808,1.0,0.0,0.0014300890527213,0.491,0.491
EIF3I,0.211,0.682,0.3179999999999999,0.479,0.969,0.031,0.535,1.0,0.0,-0.0608879570803863,0.466,0.466
EIF5A,0.169,0.646,0.354,0.44,0.968,0.032,0.508,1.0,0.0,-0.0738199592368095,0.448,0.448
ELMSAN1,0.137,0.627,0.373,0.459,0.965,0.035,0.406,1.0,0.0,-0.1140156190751869,0.392,0.392
EP300,0.404,0.824,0.176,0.825,0.998,0.002,0.814,1.0,0.0,0.2326102883617285,0.678,0.3219999999999999
ETS1,-0.348,0.225,0.225,-0.785,0.003,0.003,-0.715,0.0,0.0,-0.8579826999211106,0.044,0.044
EXOC1,0.224,0.698,0.302,0.414,0.952,0.048,0.386,1.0,0.0,-0.0663333587567643,0.444,0.444
F8A1,-0.173,0.339,0.339,-0.454,0.036,0.036,-0.459,0.0,0.0,-0.6710932204628303,0.063,0.063
FANCD2,-0.22,0.306,0.306,-0.422,0.029,0.029,-0.424,0.0,0.0,-0.6140703744221822,0.103,0.103
FBXO42,-0.219,0.294,0.294,-0.529,0.007,0.007,-0.545,0.0,0.0,-0.7088319340941681,0.054,0.054
FOXP1,0.294,0.759,0.241,0.651,0.991,0.009,0.739,1.0,0.0,0.0719322198029054,0.561,0.4389999999999999
