param,gene,rhat,ess_bulk,ess_tail,rhat_issue,ess_issue
beta,SETD2,1.0030660801902112,4379.032018362154,1683.7343378069825,False,False
beta,RPRD2,1.0015759061607914,4645.280115706704,1767.5117030381082,False,False
beta,TMEM30A,0.9998562498683026,5029.168915601368,2186.273698883567,False,False
beta,MAD2L2,0.9998339348078845,5317.830281694426,2072.9268704111896,False,False
beta,ARIH1,1.0034682912576824,4939.33366275364,2009.2044167997972,False,False
beta,CD3D,1.0000125742651302,4245.882768866584,2068.6820168797476,False,False
beta,ARGLU1,1.001485081434332,5129.112952558304,2047.8034381236102,False,False
beta,POLR2G,1.003900570184578,5126.184260527132,2333.196232012663,False,False
beta,POU2F1,1.0035183774715164,4372.434389066372,1908.8101414434545,False,False
beta,SMARCA4,1.0021247251986323,3583.367927659706,1811.716885508411,False,False
beta,PPP4R2,1.0027445913442772,4100.389620147001,1905.1338518316727,False,False
beta,CCNH,1.0012721970002039,4357.147678049035,1882.673134112976,False,False
beta,TBL1XR1,1.0018068606492287,3348.3707414842625,1528.1385419376938,False,False
beta,DOCK8,1.0020527940218094,4820.317047250663,2104.148136416174,False,False
beta,SEC24B,1.0003204135377888,3972.5479118966414,1740.7703577298496,False,False
beta,MED8,1.001100765949505,3764.853774436592,1928.303155239221,False,False
beta,SMARCB1,1.0037598013519209,3991.531596616506,1817.0607454820565,False,False
beta,KCNK15,1.0009178489776638,5326.378409030454,2050.896385262929,False,False
beta,MAPK1,1.0012981261351286,4407.538196220408,2062.523027675494,False,False
beta,ARHGEF1,1.005374468058363,4108.391375165086,1799.1502122966233,False,False
beta,PRMT5,1.0015175387178152,5701.611628729214,1703.9511967729152,False,False
beta,SRP19,1.0033552039337479,4549.2902467144295,1818.8666397546863,False,False
beta,EXOSC5,1.0015116679743108,4744.2067062643955,1823.6484115336252,False,False
beta,CCAR1,1.0011723558693817,4935.813889856226,1962.1268301931195,False,False
beta,DDX39B,1.0001362667434353,4736.33123273367,2299.182228628044,False,False
beta,MED17,1.0003507621192882,5304.421185370709,1662.114668139859,False,False
beta,SIVA1,0.999975586062112,4723.622441903081,1843.1705089140066,False,False
beta,RFWD2,1.0024307948487388,4645.846276100441,2151.8673467740623,False,False
beta,ATP6V1H,1.0019851044091943,4154.466342372361,1857.1584996521449,False,False
beta,ARIH2,1.002348464555908,5667.226501137625,1764.319345749908,False,False
beta,NFRKB,0.9999380726773849,4150.925926041891,1897.4827819523348,False,False
beta,DPM3,1.0015657633945712,3538.0543425580368,2150.916761056079,False,False
beta,TIAL1,1.000348357527944,4951.678028382246,1955.7786904751028,False,False
beta,CDK2AP1,1.0004558722936792,4417.941292266064,1802.6670018730895,False,False
beta,ANKRD31,1.0007541068808323,4552.73166385065,1410.381994328772,False,False
beta,PSMC2,1.0009915343635272,4495.966292722766,1912.2891641717747,False,False
beta,NCOR2,1.0005002271979495,5130.232289219021,1753.6643084964437,False,False
beta,NXT1,1.0019647696133562,3979.6743041907753,1989.1827704550717,False,False
beta,TTC27,1.002332576289508,5237.55680284811,1814.4705497206326,False,False
beta,SATB1,1.003351763231638,5153.208892060317,1843.723920561328,False,False
beta,DUSP4,1.0010640612875106,4172.096379824518,1899.627910450254,False,False
beta,FANCI,1.0018085535707066,5102.518640362335,1762.5432087438749,False,False
beta,FBXO42,1.0028149662883334,3732.0302757736313,1756.6449637415733,False,False
beta,UXT,0.9997017903015658,4326.484735594338,1863.986428251074,False,False
beta,SGMS1,1.0007521770882777,5125.583838607388,1826.1766480402566,False,False
beta,NPIPA5,1.0001174817084504,4867.548044232211,1951.6134394863952,False,False
beta,BRPF1,1.001169196594643,3918.794212550723,1512.1050157116854,False,False
beta,AIP,1.002754379597392,4884.379999882819,2065.0383984335454,False,False
beta,KRT4,1.000915532922212,5386.107436385581,1993.7414411868665,False,False
beta,DDX19A,1.001931530065913,4630.645474236758,1696.04949511627,False,False
beta,USO1,1.001030065511073,4297.09820550226,2005.6574801101206,False,False
beta,TBC1D10C,1.0029400053828466,4433.5406381637395,1727.8484995475212,False,False
beta,C15orf39,0.9998726051277221,4159.370206171143,1827.8080783446912,False,False
beta,DDX20,1.0033427811434095,4392.213808240185,1699.9823248645614,False,False
beta,KDM1A,1.0026469407169156,4775.110544882714,1471.7105149805416,False,False
beta,DCAF7,1.0028700104973576,4026.64667572049,2218.7835262717676,False,False
beta,KRTAP10-6,1.0035375285518413,3532.5230227599177,1770.740789181972,False,False
beta,FOXRED1,1.0013675825920867,3848.8986111356658,1905.3808225289708,False,False
beta,IFNGR1,1.0004493182226524,5748.752550957648,1825.5762248108322,False,False
beta,HSPA13,1.0005544257307701,3817.4196827080827,1710.5460390375983,False,False
beta,DNAH17,1.0002219457147759,4916.745265632224,2024.713389697333,False,False
beta,ZNF74,1.0062008304565002,4505.778466298662,2080.2263995924136,False,False
beta,ZCCHC6,1.0008863694694856,4074.3794707055044,1950.0172911966747,False,False
