gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
ABR,-0.176408166735479,0.3399296038483042,0.309,0.309,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.442,0.201,0.309,0.691,0.309,0.309,False
ACACA,0.101028701174891,0.3406196318043339,0.612,0.388,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.398,0.151,0.612,0.388,0.612,0.388,False
ACTL6A,-0.0195302954008638,0.351179284107558,0.464,0.464,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.376,0.144,0.464,0.536,0.464,0.464,False
ADCY6,0.3370614870561043,0.3576988943393903,0.825,0.175,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.57,0.343,0.825,0.175,0.825,0.17500000000000004,False
AKIRIN2,0.0801997842675537,0.3687467954241913,0.584,0.416,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.42,0.186,0.584,0.416,0.584,0.41600000000000004,False
ALDOA,0.5619371938473501,0.387707222461567,0.918,0.0819999999999999,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.757,0.568,0.918,0.082,0.918,0.08199999999999996,False
ALG1,0.5026905627957554,0.3575994772812416,0.922,0.0779999999999999,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.721,0.505,0.922,0.078,0.922,0.07799999999999996,False
ALG11,0.2662286207249271,0.3421316849200516,0.775,0.2249999999999999,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.493,0.272,0.775,0.225,0.775,0.22499999999999998,False
ALG13,0.6541898040087317,0.3764250279013167,0.961,0.039,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.834,0.648,0.961,0.039,0.961,0.039000000000000035,True
ALG14,0.0776659443134308,0.3412459353926989,0.606,0.394,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.391,0.149,0.606,0.394,0.606,0.394,False
ALG2,1.0208459570182142,0.4232894231514374,0.991,0.009,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.95,0.892,0.991,0.009,0.991,0.009000000000000008,True
ALG9,-0.055224098743208,0.3311997920614632,0.437,0.437,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.365,0.133,0.437,0.563,0.437,0.437,False
ALYREF,0.050529063348796,0.3625773222698689,0.56,0.4399999999999999,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.412,0.174,0.56,0.44,0.56,0.43999999999999995,False
ANKMY2,-0.0312571637500346,0.3258878760418092,0.461,0.461,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.382,0.132,0.461,0.539,0.461,0.461,False
ANKRD17,-1.017699846171583,0.4405615745870831,0.007,0.007,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.946,0.873,0.007,0.993,0.007,0.007,True
ANKUB1,-0.228188304290865,0.3401662030510813,0.246,0.246,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.449,0.222,0.246,0.754,0.246,0.246,False
APH1A,0.2661804229269051,0.3512356995416271,0.777,0.2229999999999999,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.518,0.274,0.777,0.223,0.777,0.22299999999999998,False
APLP1,-0.227762088121237,0.3427863484795436,0.242,0.242,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.498,0.242,0.242,0.758,0.242,0.242,False
AQP3,0.1740754349914511,0.3420599774864969,0.699,0.301,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.432,0.184,0.699,0.301,0.699,0.30100000000000005,False
ARF5,-0.3174877649249429,0.3410877414788789,0.175,0.175,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.566,0.309,0.175,0.825,0.175,0.175,False
ARGLU1,-0.8331617058224666,0.3567376467909851,0.013,0.013,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.937,0.817,0.013,0.987,0.013,0.013,True
ARHGEF1,0.2299657910487915,0.360963893655427,0.745,0.255,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.5,0.268,0.745,0.255,0.745,0.255,False
ARHGEF33,-0.3866690838347596,0.3312735755333578,0.126,0.126,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.637,0.366,0.126,0.874,0.126,0.126,False
ARID1A,1.1406365533131162,0.4142009827365756,0.997,0.003,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.981,0.94,0.997,0.003,0.997,0.0030000000000000027,True
ARID3A,-0.1601027893199695,0.3314403416892487,0.307,0.307,0.6821499285697235,1.5372842964563749,0.3824061041030628,16,4,4,500,0.416,0.17,0.307,0.693,0.307,0.307,False
