gene,chains,tune,beta_mean_nuts,psp_nuts,lfsr_nuts,n_obs,beta_sd_nuts,n_sgrna,draws,n_sample,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
2023-09-04 00:00:00,2,1000,0.1322360495286891,0.9135,0.0865,16,0.0983593073872548,4,1000,4,0.04,0.001,0.9135,0.0865,0.9135,0.08650000000000002,False
2023-09-05 00:00:00,2,1000,-0.2289808262463572,0.0205,0.0205,16,0.1121475939015366,4,1000,4,0.254,0.012,0.0205,0.9795,0.0205,0.0205,False
2023-09-07 00:00:00,2,1000,-0.1391935698444188,0.098,0.098,16,0.1072881112072564,4,1000,4,0.065,0.0015,0.098,0.902,0.098,0.098,False
2023-09-15 00:00:00,2,1000,0.1841742114943694,0.9615,0.0384999999999999,16,0.1036557428218129,4,1000,4,0.1295,0.001,0.9615,0.0385,0.9615,0.03849999999999998,False
ABCA5,2,1000,-0.0734066812809665,0.212,0.212,16,0.0912404988021385,4,1000,4,0.0055,0.0,0.212,0.788,0.212,0.212,False
ABCB6,2,1000,0.1314882748189079,0.8895,0.1105,16,0.1068853391761992,4,1000,4,0.056,0.0,0.8895,0.1105,0.8895,0.11050000000000004,False
ABCB7,2,1000,-0.270802819779932,0.0,0.0,16,0.1059798229323897,4,1000,4,0.37209302325581395,0.023255813953488372,0.0,1.0,0.0,0.0,False
ABCF1,2,1000,0.2670414883028965,1.0,0.0,16,0.1024802920016397,4,1000,4,0.32558139534883723,0.023255813953488372,1.0,0.0,1.0,0.0,False
ABCG2,2,1000,-0.0943683581760861,0.213,0.213,16,0.1223733141078299,4,1000,4,0.044,0.0,0.213,0.787,0.213,0.213,False
ABCG5,2,1000,-0.2981137680715615,0.0232558139534883,0.0232558139534883,16,0.1256914930022147,4,1000,4,0.46511627906976744,0.06976744186046512,0.023255813953488372,0.9767441860465116,0.023255813953488372,0.023255813953488372,False
ABHD2,2,1000,-0.226554769476608,0.0232558139534883,0.0232558139534883,16,0.1233509193374964,4,1000,4,0.2558139534883721,0.0,0.023255813953488372,0.9767441860465116,0.023255813953488372,0.023255813953488372,False
ABHD3,2,1000,-0.0713805199763749,0.2085,0.2085,16,0.0927068949864987,4,1000,4,0.0105,0.0,0.2085,0.7915,0.2085,0.2085,False
ABR,2,1000,0.2600588476943913,0.99,0.01,16,0.1153589076501398,4,1000,4,0.356,0.019,0.99,0.01,0.99,0.010000000000000009,False
ACACA,2,1000,0.2517864756639474,0.9815,0.0184999999999999,16,0.1145440410381624,4,1000,4,0.342,0.0175,0.9815,0.0185,0.9815,0.01849999999999996,False
ACADS,2,1000,-0.0873969859680043,0.178,0.178,16,0.0926608991061786,4,1000,4,0.015,0.0,0.178,0.822,0.178,0.178,False
ACAP1,2,1000,0.1928452071100553,0.962,0.038,16,0.1125830014425391,4,1000,4,0.177,0.0035,0.962,0.038,0.962,0.038000000000000034,False
ACER2,2,1000,-0.130754981243652,0.1415,0.1415,16,0.1213473353358949,4,1000,4,0.08,0.0005,0.1415,0.8585,0.1415,0.1415,False
ACP2,2,1000,-0.1356855684980947,0.096,0.096,16,0.1053517200511596,4,1000,4,0.0565,0.0005,0.096,0.904,0.096,0.096,False
ACRV1,2,1000,0.0897105869490601,0.8195,0.1805,16,0.0979386215055529,4,1000,4,0.0145,0.0,0.8195,0.1805,0.8195,0.1805,False
ACSL1,2,1000,-0.0839536380779722,0.1955,0.1955,16,0.1020871611408392,4,1000,4,0.0165,0.0,0.1955,0.8045,0.1955,0.1955,False
ACSL3,2,1000,-0.1435184162071408,0.1035,0.1035,16,0.1149990009097696,4,1000,4,0.0855,0.0025,0.1035,0.8965,0.1035,0.1035,False
