gene,converged,iters,phi,beta_mean,beta_sd,lfsr,p_effect_ge_delta,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,neglog10_lfsr,hit_tier1,hit_tier2,hit_any,hit_category
FOXP3,False,25,3.4137204296402093,2.059689561355618,0.07659593662503782,1.4250133096294218e-159,1.0,1.0,1.0,20.0,True,False,True,tier1_pos
DAD1,False,25,4.420683241802118,2.3584507373070034,0.23616372944593322,8.73135422779349e-24,1.0,1.0,0.9999999999999982,19.99962096755319,True,False,True,tier1_pos
SMARCB1,False,25,2.785617519095479,2.247212211926056,0.2870279070053925,2.454014283888082e-15,0.9999999999991839,0.9999999999941575,0.9999999994256871,14.61012114401064,True,False,True,tier1_pos
SMAD3,False,25,3.477074131108545,1.8563079725335374,0.25816310163859907,3.228988773809523e-13,0.9999999998838223,0.999999999171997,0.9999999254576727,12.490933451437298,True,False,True,tier1_pos
TGFBR1,False,25,3.4755010651070912,1.8256757851621486,0.25796118508320026,7.348048233575502e-13,0.9999999997584325,0.9999999983341762,0.9999998619355548,12.133827995679226,True,False,True,tier1_pos
TGFBR2,False,25,3.428540642475925,1.7152403155833251,0.2587229147280184,1.6825093223329772e-11,0.9999999962496902,0.9999999775109659,0.9999986804167217,10.774042520529932,True,False,True,tier1_pos
RPN1,False,25,3.5191507561497577,1.5985411663142062,0.2547909562198288,1.7602100805089737e-10,0.9999999685723119,0.9999998270013873,0.9999918938945496,9.754435496160584,True,False,True,tier1_pos
SMAD4,False,25,3.4438281681747225,1.559260505914004,0.2575087281137695,7.013238894774812e-10,0.9999999008050515,0.9999994962461626,0.9999805142077619,9.154081367295598,True,False,True,tier1_pos
USO1,False,25,3.556611839035185,1.5034161205002528,0.2525477549620509,1.316377670066375e-09,0.9999998131407524,0.9999990562154886,0.9999645393678065,8.880619493321499,True,False,True,tier1_pos
CD3D,False,25,4.669915339309398,1.3445317030046386,0.2237360833288845,9.307457955589737e-10,0.9999997497925129,0.9999984836193462,0.9999198928073633,9.031168916931025,True,False,True,tier1_pos
STAT5B,False,25,4.182290192194985,1.3520832570077352,0.23477491163981085,4.229133279187882e-09,0.999999289360224,0.9999962895103258,0.9998579389815251,8.37374862804579,True,False,True,tier1_pos
ALG2,False,25,5.138658674025379,1.2606705059450494,0.21414005827179927,1.964790053242992e-09,0.9999994123785022,0.9999963743986705,0.9998089952430536,8.706683849148593,True,False,True,tier1_pos
MED30,False,25,5.285869022572825,1.1664451640805178,0.21128129052112155,1.6871433028579724e-08,0.9999962600030614,0.9999794234063631,0.9991955896440522,7.772848027667113,True,False,True,tier1_pos
ARID1A,False,25,3.558535122765332,1.2186503249857863,0.24964568137754875,5.263568791807876e-07,0.9999683691145779,0.9998832997169367,0.9980032909063713,6.278719696713453,True,False,True,tier1_pos
GPN2,False,25,5.48341908508671,1.0340655912211623,0.20627121896938957,2.677506514472987e-07,0.9999603626597974,0.9998136807950744,0.9951892373084466,6.572269463840169,True,False,True,tier1_pos
TAF6,False,25,5.261666890233257,1.030936141274752,0.21009866378516187,4.626021343427228e-07,0.9999432584127831,0.9997483687417635,0.9942492357674687,6.334792367823218,True,False,True,tier1_pos
GFPT1,False,25,5.160750836589166,1.03234897834268,0.21216549367609994,5.700536475384031e-07,0.9999356289921951,0.9997215511717613,0.9939484057949587,6.244084271110765,True,False,True,tier1_pos
GMPPB,False,25,5.3981996393398495,0.9987386179390777,0.20711783268362655,7.103471273436865e-07,0.9999150052500669,0.9996290780838912,0.9919797903600434,6.148529371493844,True,False,True,tier1_pos
HDAC3,False,25,3.370071093909336,-1.0609022096057195,0.2532999808711819,1.4051150031391124e-05,0.9995497837824581,0.9986675731439485,0.9865986481820387,4.852288129008188,True,False,True,tier1_neg
LCP2,False,25,3.36423057228548,1.0617690627282736,0.2539548475132326,1.4515554013473538e-05,0.9995414191223284,0.9986484758753293,0.9865195163272066,4.838166383848647,True,False,True,tier1_pos
PREB,False,25,5.491267492528223,0.939699372505587,0.20536820364761035,2.3733676626012323e-06,0.9997712189190592,0.9990799333265311,0.9838641684705273,5.6246349792413195,True,False,True,tier1_pos
SMARCE1,False,25,3.472105794756041,1.0091330854972753,0.2491885659642192,2.5644239018451628e-05,0.999229803517047,0.9977848582151998,0.9794818933174618,4.591010183905337,True,False,True,tier1_pos
TMEM258,False,25,3.2740449873118487,1.0126124976574085,0.25562140801021793,3.72595473263207e-05,0.9990354834100554,0.997346492371202,0.9775376204362713,4.428762425738092,True,False,True,tier1_pos
ALG13,False,25,5.450056482580513,0.8792024988304612,0.2045690703623632,8.624030096178436e-06,0.9993644215345467,0.9976822590383443,0.9681064395752489,5.064289736551885,True,False,True,tier1_pos
DHX36,False,25,4.289311178763273,0.8891976695226204,0.22628766939972345,4.256112512274948e-05,0.9984486814770561,0.9953896427741581,0.957276902297902,4.370986899788599,True,False,True,tier1_pos
STAT5A,False,25,5.49397533373864,0.8350897561815712,0.20348209042139415,2.0303693657666678e-05,0.9987479526202346,0.9957265614485644,0.9501981203239992,4.692424947839432,True,False,True,tier1_pos
RBPJ,False,25,3.2809462933265476,-0.8976980267472539,0.25301692658762687,0.00019410166944877627,0.9963070153551712,0.99091975971711,0.9420043062642882,3.7119707292727737,True,False,True,tier1_neg
IRF4,False,25,5.4278367263048635,-0.8199403971474176,0.20443804030112725,3.0269027082918676e-05,0.9983302009768679,0.9945089482193461,0.9412056000749103,4.51900153805599,True,False,True,tier1_neg
CD3E,False,25,3.852212814658129,0.8588311757926771,0.23601752719057278,0.00013693183311834826,0.9966047553808829,0.9910522125802111,0.9357895135407794,3.8634955778664186,True,False,True,tier1_pos
MIDN,False,25,3.4911691042525366,0.8492398691177037,0.24534290447542892,0.0002686464240373592,0.9948438472167095,0.9874124509721726,0.9227009901581701,3.5708189359669733,True,False,True,tier1_pos
MED8,False,25,5.221979944707835,0.7864025026521795,0.2071192822442046,7.32708391397176e-05,0.9968784300194654,0.9905733849443612,0.9166353896898355,4.13506883464276,True,False,True,tier1_pos
RNF113A,False,25,5.4916186346681455,0.7767761574700459,0.20240524889747594,6.208912645036255e-05,0.9970279171434152,0.9907524562398337,0.9142556062989189,4.206984450324028,True,False,True,tier1_pos
CBFB,False,25,3.4802008542281846,0.8276082787811446,0.24534485788345567,0.00037143930086753644,0.9933767840120896,0.9842433701328919,0.9091104686324991,3.430112146781191,True,False,True,tier1_pos
ARMC7,False,25,5.477716182430174,0.7678643670508668,0.20277389533251225,7.629964161767213e-05,0.9965527954853519,0.9894815900536653,0.9067493602838418,4.1174775019380805,True,False,True,tier1_pos
UXT,False,25,5.332244194022902,0.769573103771072,0.20500379457914317,8.703630992438958e-05,0.9963283155974748,0.9890055986612234,0.9057394044376326,4.060299530024654,True,False,True,tier1_pos
PGM3,False,25,3.276348138103556,0.8214179926019555,0.25103726559019646,0.0005337669059098805,0.9917231276978319,0.981105682506356,0.8997907365261771,3.2726483564126374,True,False,True,tier1_pos
TAF2,False,25,5.220236301119617,0.7576874115862513,0.20620976224370344,0.00011922654572720602,0.9954404651129769,0.986774580093845,0.8942839659666036,3.9236270383934073,True,False,True,tier1_pos
CDC37,False,25,5.430087965322854,0.7517760355229204,0.2029640164058578,0.00010611865775878262,0.9956050092356151,0.9869894106298657,0.8926039903229901,3.974208251826164,True,False,True,tier1_pos
RPN2,False,25,3.274959527089888,0.8073595247074692,0.25094065402560306,0.0006469427392009367,0.9903956101254375,0.9784081801353038,0.8896803674127592,3.189134156965865,True,False,True,tier1_pos
DPF2,False,25,3.278966632569398,0.8050121434145084,0.250563754538838,0.0006572306089317116,0.9902441278595174,0.9780792102067534,0.8882557198193289,3.182282218547105,True,False,True,tier1_pos
SMARCA4,False,25,3.475067935928334,0.7858291885800026,0.24408196084790482,0.0006420046863798802,0.9897994659790232,0.9767327821833148,0.8792082657602653,3.192461801741904,True,False,True,tier1_pos
ZBTB7B,False,25,3.334188558052839,-0.7414011329925266,0.24684102357203344,0.0013342169246265412,0.9827185714880877,0.9631404057052255,0.835953678850224,2.874773554595371,True,False,True,tier1_neg
KMT2D,False,25,5.493430224790013,0.6924013326970487,0.2012158953885272,0.0002896914727099932,0.9905588770911886,0.9744213309772095,0.8305127617121166,3.538064288398242,True,False,True,tier1_pos
TBL1XR1,False,25,5.31261081129677,-0.6864064214359836,0.2038122159357527,0.0003788011937947422,0.9889475932181153,0.9710136394667999,0.8197988756189513,3.4215886609843604,True,False,True,tier1_neg
RNF40,False,25,5.4937999473083226,0.6704853366710172,0.20044650558860053,0.00041147371955340426,0.9876975045417655,0.9677211878400572,0.8024841626081687,3.385657897553568,True,False,True,tier1_pos
GPS2,False,25,4.974801885080757,-0.669935017777109,0.20845234260159098,0.0006548353668709428,0.9845635729459006,0.9620257958948469,0.7925274991856794,3.183867872903793,False,True,True,tier2_neg
TRAPPC3,False,25,3.941079193569739,0.6822713554764531,0.22973162161609864,0.001489664770558835,0.9779447224154164,0.9519524134787607,0.7862306264048033,2.8269114528471926,False,True,True,tier2_pos
MEAF6,False,25,3.2750989616060386,0.6812023798484915,0.24657707662210182,0.0028668451828568926,0.969415818639474,0.9389794454311162,0.7687918471934597,2.542595759458953,False,True,True,tier2_pos
NAB2,False,25,5.391429012301873,0.6462819330168713,0.20107127538015315,0.0006540580412309872,0.9830074726816013,0.9574832556574016,0.766544077285574,3.184383710593361,False,True,True,tier2_pos
TADA1,False,25,5.428944114156531,0.6361910181313051,0.20058759646275162,0.0007579120743789064,0.9810100499425416,0.9531354602787837,0.7514185044208652,3.120381174086859,False,True,True,tier2_pos
ETS1,False,25,5.276584540436575,-0.637691908608183,0.20422429355288627,0.0008965873802854185,0.97959877558398,0.9508911319642601,0.7499139817462844,3.0474073782417825,False,True,True,tier2_neg
KAT7,False,25,5.457663074842188,0.6346596915176509,0.20002544852828075,0.0007546361893774877,0.9809251275075608,0.9528462603661134,0.7495940462832748,3.122262371583895,False,True,True,tier2_pos
TET2,False,25,3.958567228013119,0.6469178558320738,0.22790657314916932,0.002266148686363311,0.9695518399735651,0.9360359467019891,0.7404202198120946,2.6447115986435517,False,True,True,tier2_pos
UHRF1,False,25,3.3050513065617957,-0.6364274501534436,0.24393686501766834,0.004540570481145534,0.9563226758986713,0.9161387754984567,0.7120140882923376,2.3428895785859147,False,True,True,tier2_neg
ANKRD17,False,25,5.120457937477282,-0.6120654168930746,0.2045740440173202,0.001386227892139602,0.9723728086763546,0.9364294274736664,0.7080849977062358,2.858165367009304,False,True,True,tier2_neg
NCBP1,False,25,5.265671004973814,0.6057898336247669,0.20257229248805014,0.0013926643308536685,0.971597387329303,0.9344227426018873,0.699245791986366,2.8561535474848125,False,True,True,tier2_pos
NFKB2,False,25,5.343721872182937,0.6004709576134725,0.20136011834438497,0.001431509661121999,0.9706109479927635,0.9321814183399203,0.6910967887883597,2.844205716620507,False,True,True,tier2_pos
NCOR2,False,25,4.126361238735871,-0.6064930458584827,0.22264630138536,0.003224627064502328,0.9588125291179885,0.9157040983288524,0.6837840964399884,2.4915205052749547,False,True,True,tier2_neg
ZC3H18,False,25,5.346237162902712,0.5912728578526233,0.20073132373802421,0.0016116791866712115,0.9678410064493715,0.9266226849339839,0.6753380691219324,2.7927214025584903,False,True,True,tier2_pos
