gene,post_mean,lfdr,p_abs_ge_thr
AGPAT6,0.3593313923711829,0.0006720723356056711,0.7800041767900567
ALX1,-0.42245072877485323,1.3797788300687949e-09,0.9801259690260634
ANKRD65,-0.22408228871072375,0.06811228388992864,0.128282097831317
ANO10,0.30088900131661883,0.0006446081320011061,0.5055327834820214
AOC2,-0.32537963837389094,5.631446326092594e-05,0.6585789901134762
APH1A,0.38489890822304723,0.02264903919022113,0.7943412352448667
APOL4,0.1970034230926922,0.025781817247036407,0.027087608451889844
APOPT1,0.2483062017897462,0.09180769898609105,0.2515374576805258
ARID1A,0.6120432360901742,0.00013722589264517082,0.9949492749542111
ARID2,-0.2852558101543528,0.0005390191341400363,0.40317735371184416
ARMC7,1.202417955405052,0.0,1.0
ARR3,-0.23799857875866665,0.02493954612801465,0.16772731548350106
ASAH2B,0.2781923615313595,0.08970467205760427,0.39996800326181337
ASB13,-0.15004128701662936,0.08970467205760427,0.0006119857276130041
ASF1A,-0.4228599369682339,7.083347592807629e-07,0.9619138957899381
ATP6V1H,-0.2896497904061323,0.017757815647589624,0.44597821678377286
BCL11B,0.4658850480286691,0.005105783535637569,0.9321810816477387
BTBD16,-0.31180785720592086,0.029126963778855517,0.5549155181387491
C16orf72,-0.6167521232813931,7.449134614321028e-11,0.9999461868318262
C1orf158,-0.2448970444112845,0.03606445853649821,0.21080400884501466
C1orf216,0.24963727453078868,0.0005166454109627473,0.16839751829726957
CAND1,0.20762019664112255,0.005650291198216888,0.03211047707330528
CARM1,-0.4187330349834082,0.00015555825519342613,0.9223878140751538
CBLB,-0.36842437697864544,0.006833237910863959,0.7769821383028955
CCDC88C,0.26328418339554743,0.010268397653050057,0.28941551316224534
CD3D,0.6623312737156268,3.0438381429243044e-05,0.9983620785560602
CD3E,0.5385400857899917,0.0015386517421717213,0.9766067543318196
CDC25B,-0.21550957575353027,0.030317607411019364,0.07721051732986586
CDK12,0.5402627058413466,9.421745309888423e-05,0.9887276927032385
CEACAM20,-0.24622640961498377,0.034262204122934244,0.2164718221149955
CHD1,-0.3519918078701742,0.07414174295352208,0.6877619802169239
